DepartureTime,ArraivalTime,Price,Operator,NumberOfStops,Duration,Layovers,Source
2023-12-20 11:05:00,2023-12-20 21:35:00,453.0,"['Scandinavian Airlines', 'Lufthansa']",2,37800,"['1h 30m layover, Oslo Gardermoen', '2h 00m layover, Frankfurt am Main']",kayak.com
2023-12-20 10:05:00,2023-12-20 21:35:00,361.0,['Lufthansa'],2,41400,"['2h 30m layover, Kastrup Copenhagen', '2h 40m layover, Frankfurt am Main']",kayak.com
2023-12-20 10:05:00,2023-12-20 21:35:00,361.0,['Lufthansa'],2,41400,"['3h 40m layover, Kastrup Copenhagen', '1h 30m layover, Frankfurt am Main']",kayak.com
2023-12-20 02:00:00,2023-12-20 11:20:00,598.0,['British Airways'],1,33600,"['2h 00m layover, London Heathrow']",kayak.com
2023-12-20 07:25:00,2023-12-20 18:25:00,322.0,"['Scandinavian Airlines', 'Pegasus Airlines']",2,39600,"['1h 35m layover, Stockholm Arlanda', '2h 20m layover, Geneva Geneve-Cointrin']",kayak.com
2023-12-20 07:00:00,2023-12-20 17:05:00,473.0,['Lufthansa'],2,36300,"['1h 15m layover, Munich Franz Josef Strauss', '1h 55m layover, Frankfurt am Main']",kayak.com
2023-12-20 06:20:00,2023-12-20 17:00:00,314.0,['Multiple airlines'],2,38400,"['2h 20m layover, Kastrup Copenhagen', '1h 55m layover, Cologne Köln/Bonn']",kayak.com
2023-12-20 07:05:00,2023-12-20 19:20:00,225.0,"['Finnair', 'Pegasus Airlines']",1,44100,"['7h 30m layover, Berlin Brandenburg']",kayak.com
2023-12-20 10:15:00,2023-12-20 21:35:00,407.0,['Lufthansa'],2,40800,"['3h 40m layover, Stockholm Arlanda', '1h 15m layover, Frankfurt am Main']",kayak.com
2023-12-20 05:20:00,2023-12-20 15:45:00,320.0,"['airBaltic', 'Pegasus Airlines']",2,37500,"['1h 15m layover, Riga Intl', '2h 40m layover, Frankfurt am Main']",kayak.com
2023-12-20 07:15:00,2023-12-20 18:25:00,292.0,['Multiple airlines'],2,40200,"['2h 00m layover, Kastrup Copenhagen', '2h 15m layover, Geneva Geneve-Cointrin']",kayak.com
